epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,401.692,0.98915,1.97693,0.96918,0.97753,0.95947,0.97616,0.75603,0.79759,1.05616,0.88632,0.000664962,0.000664962,0.000664962
2,814.555,0.89071,1.02736,0.92445,0.98222,0.95098,0.97565,0.77986,0.71519,0.82276,0.8614,0.0011998,0.0011998,0.0011998
3,1258.09,0.84049,0.74562,0.91202,0.97309,0.97481,0.97523,0.75936,0.7794,0.63017,0.87827,0.00160263,0.00160263,0.00160263
4,1700.12,0.81732,0.61174,0.90023,0.97148,0.95833,0.98019,0.79224,0.72356,0.55558,0.86936,0.001406,0.001406,0.001406
5,2139.87,0.78745,0.55182,0.88836,0.97988,0.95508,0.98988,0.78369,0.74335,0.51941,0.85425,0.001208,0.001208,0.001208
6,2595.57,0.74324,0.5023,0.86265,0.98491,0.95957,0.98461,0.80732,0.71198,0.47961,0.85288,0.00101,0.00101,0.00101
7,3020.31,0.69206,0.47281,0.85559,0.98715,0.96324,0.98682,0.83944,0.62448,0.43786,0.83723,0.000812,0.000812,0.000812
8,3461.27,0.65845,0.43678,0.85229,0.98266,0.97246,0.98665,0.84085,0.61219,0.40281,0.83282,0.000614,0.000614,0.000614
9,3875.69,0.62196,0.40585,0.84548,0.98028,0.97472,0.98719,0.86803,0.55273,0.37533,0.82031,0.000416,0.000416,0.000416
10,4293.46,0.58134,0.37385,0.8322,0.98514,0.97473,0.99127,0.87261,0.54429,0.35268,0.81571,0.000218,0.000218,0.000218
